,Unnamed: 0,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
10,10,https://www.immoweb.be/en/classified/villa/for-sale/holsbeek%20kortrijk-dutsel/3220/10831251,Flanders,Flemish Brabant,Holsbeek Kortrijk-Dutsel,HOUSE,VILLA,579000.0,4.0,225.0,INSTALLED,0,0,1,18.0,0,0.0,1103,4,0,GOOD
11,11,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10832715,Brussels,Brussels,Etterbeek,HOUSE,HOUSE,1150000.0,6.0,300.0,HYPER_EQUIPPED,0,0,1,40.0,1,150.0,260,2,0,AS_NEW
12,12,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10828460,Flanders,East Flanders,Aalst,HOUSE,HOUSE,159000.0,2.0,81.0,USA_INSTALLED,0,0,1,0.0,1,70.0,120,2,0,TO_BE_DONE_UP
13,13,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10828802,Flanders,Antwerp,Mechelen,HOUSE,HOUSE,295000.0,2.0,172.0,INSTALLED,0,0,1,0.0,0,0.0,189,2,0,GOOD
14,14,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10828745,Flanders,Flemish Brabant,Wezembeek-Oppem,HOUSE,HOUSE,329000.0,3.0,80.0,INSTALLED,0,0,1,28.0,1,60.0,170,3,0,TO_BE_DONE_UP
15,15,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/laakdal/2430/10829868,Flanders,Antwerp,Laakdal,HOUSE_GROUP,HOUSE_GROUP,,0.0,195.2316176470588,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,1,0,
16,16,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10829358,Brussels,Brussels,Uccle,HOUSE,HOUSE,695000.0,4.0,185.0,USA_INSTALLED,0,0,1,0.0,1,240.0,308,2,0,TO_RENOVATE
17,17,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10828236,Brussels,Brussels,Ixelles,HOUSE,HOUSE,830000.0,4.0,282.0,INSTALLED,0,0,0,0.0,1,80.0,163,2,0,TO_BE_DONE_UP
18,18,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4031/10826704,Wallonie,Liège,Liège,HOUSE,HOUSE,249000.0,1.0,95.0,INSTALLED,0,0,0,0.0,1,93.0,149,2,0,JUST_RENOVATED
19,19,https://www.immoweb.be/en/classified/house/for-sale/bertem/3060/10825503,Flanders,Flemish Brabant,Bertem,HOUSE,HOUSE,298000.0,4.0,112.0,SEMI_EQUIPPED,0,0,1,24.0,1,272.0,450,4,0,TO_BE_DONE_UP
20,20,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/roms%C3%A9e/4624/10825893,Wallonie,Liège,Romsée,HOUSE_GROUP,HOUSE_GROUP,,0.0,195.2316176470588,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,1,0,
21,21,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10827696,Flanders,Flemish Brabant,Wezembeek-Oppem,HOUSE,HOUSE,329000.0,3.0,80.0,INSTALLED,0,0,1,14.0,1,60.0,170,3,0,TO_BE_DONE_UP
22,22,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen/9500/10825603,Flanders,East Flanders,Geraardsbergen,HOUSE_GROUP,HOUSE_GROUP,,0.0,195.2316176470588,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,1,0,
23,23,https://www.immoweb.be/en/classified/house/for-sale/roosdaal/1760/10825693,Flanders,Flemish Brabant,Roosdaal,HOUSE,HOUSE,360000.0,3.0,301.0,SEMI_EQUIPPED,0,0,1,0.0,0,0.0,545,3,0,GOOD
24,24,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/erpe-mere/9420/10827497,Flanders,East Flanders,ERPE-MERE,HOUSE_GROUP,HOUSE_GROUP,,0.0,195.2316176470588,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,1,0,
25,25,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wetteren/9230/10824904,Flanders,East Flanders,Wetteren,HOUSE_GROUP,HOUSE_GROUP,,0.0,195.2316176470588,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,1,0,
26,26,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/kontich/2550/10825327,Flanders,Antwerp,Kontich,HOUSE_GROUP,HOUSE_GROUP,,0.0,195.2316176470588,NOT_INSTALLED,0,0,0,0.0,0,0.0,-1,1,0,
27,27,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/seraing/4100/10833665,Wallonie,Liège,Seraing,HOUSE,MIXED_USE_BUILDING,299000.0,0.0,219.0,NOT_INSTALLED,0,0,1,0.0,0,0.0,198,2,0,GOOD
28,28,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10833500,Brussels,Brussels,Schaerbeek,HOUSE,HOUSE,360000.0,4.0,135.0,INSTALLED,0,0,0,0.0,0,0.0,45,3,0,GOOD
29,29,https://www.immoweb.be/en/classified/house/for-sale/nivelles/1400/10834601,Wallonie,Walloon Brabant,Nivelles,HOUSE,HOUSE,420000.0,4.0,135.0,HYPER_EQUIPPED,0,1,1,30.0,1,90.0,239,3,0,AS_NEW
30,30,https://www.immoweb.be/en/classified/apartment-block/for-sale/wavre/1300/10643366,Wallonie,Walloon Brabant,Wavre,HOUSE,APARTMENT_BLOCK,480000.0,3.0,265.0,NOT_INSTALLED,0,0,1,0.0,1,0.0,190,2,0,GOOD
31,31,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4000/10836363,Wallonie,Liège,Liège,HOUSE,HOUSE,410000.0,4.0,216.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,86,2,0,JUST_RENOVATED
32,32,https://www.immoweb.be/en/classified/apartment/for-sale/mol/2400/10836360,Flanders,Antwerp,Mol,APARTMENT,APARTMENT,325000.0,2.0,195.2316176470588,NOT_INSTALLED,0,0,1,15.0,0,0.0,-1,1,0,GOOD
33,33,https://www.immoweb.be/en/classified/duplex/for-sale/molenbeek-saint-jean/1080/10836359,Brussels,Brussels,Molenbeek-Saint-Jean,APARTMENT,DUPLEX,395000.0,4.0,124.0,NOT_INSTALLED,0,0,1,9.0,0,0.0,-1,2,0,AS_NEW
34,34,https://www.immoweb.be/en/classified/villa/for-sale/wenduine/8420/10836357,Flanders,West Flanders,Wenduine,HOUSE,VILLA,395000.0,5.0,180.0,INSTALLED,0,1,1,0.0,1,0.0,794,4,0,TO_RENOVATE
35,35,https://www.immoweb.be/en/classified/service-flat/for-sale/herzele/9550/10669764,Flanders,East Flanders,Herzele,APARTMENT,SERVICE_FLAT,195000.0,2.0,67.0,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,-1,2,0,AS_NEW
